
"PerGlu · Day 3 · Week 5 · Verão · Deload";"2024-10-30 16:32 h";"1:16 hr"
2;9;10
3;9;9
"5. Shoulder Press · Machine · 8 reps"
#;KG;REPS
1;25;10
2;25;10
3;25;10
"6. Pseudo Planche Lean - Iso · Bodyweight"
#;SECS
1;20
2;13
3;13

"CosBi · Day 1 · Week 3 · Voltando · Deload";"2024-07-22 18:55 h";"1:05 hr"
"1. Pull-Ups with Close Neutral Grip · Bodyweight · 8 reps"
#;KG;REPS
1;+0;10
2;+0;8
3;+0;5
"2. Inverted Rows on Smith Machine · Bodyweight · 8 reps";"Altura 3, pé apoiado na plataforma"
#;KG;REPS
1;+0;10
2;+0;8
3;+0;7
"3. Pullovers · Cable · 8 reps"
#;KG;REPS
1;47;10
2;47;10
3;47;12
